id,age_at_entry,entry_cohort_year,prior_career_years,diocesan_or_order,region,conscientiousness_score,internal_locus_of_control,introspection_level,compliance_score,willingness_to_self_edit,conscience_conflict_events,initial_evaluation_score,year1_advancement,year2_advancement,leadership_flag,year_of_exit,ordination_outcome,exit_reason_category,profile_cluster
266,24,2022,2,diocesan,Midwest,3,1,3,2,2,2,3,0,0,0,1,0,1,early_exit_discerner
267,27,2019,5,diocesan,Midwest,5,3,4,4,4,1,5,1,1,1,3,0,3,early_compliant_survivor
268,24,2022,2,diocesan,Northeast,5,4,3,3,5,1,4,1,1,1,,1,,early_compliant_survivor
269,40,2006,18,diocesan,West,3,5,4,2,1,5,4,1,1,1,3,0,4,late_integrated_attriter
270,24,2022,2,diocesan,Northeast,4,4,4,4,5,1,4,1,0,1,2,0,2,early_compliant_survivor
271,23,2023,1,diocesan,Northeast,4,4,3,3,4,1,4,1,1,1,,1,,early_compliant_survivor
272,25,2021,3,diocesan,West,5,4,4,3,4,1,5,1,1,1,3,0,2,early_compliant_survivor
273,29,2017,7,diocesan,Midwest,5,4,4,4,5,1,5,1,0,1,2,0,2,early_compliant_survivor
274,26,2020,4,diocesan,Northeast,5,4,3,4,5,0,4,1,1,1,,1,,early_compliant_survivor
275,23,2023,1,diocesan,South,5,4,4,4,5,1,5,1,1,1,3,0,3,early_compliant_survivor
276,24,2022,2,diocesan,Midwest,4,4,3,4,4,0,4,1,1,1,,1,,early_compliant_survivor
277,27,2019,5,diocesan,South,5,3,4,4,5,1,5,1,0,1,2,0,2,early_compliant_survivor
278,26,2020,4,diocesan,West,5,4,3,3,4,0,4,1,1,1,,1,,early_compliant_survivor
279,24,2022,2,diocesan,Midwest,4,4,3,3,4,0,4,1,1,1,,1,,early_compliant_survivor
280,36,2010,14,diocesan,Midwest,4,5,5,1,1,5,5,1,1,1,3,0,4,late_integrated_attriter
281,23,2023,1,diocesan,Northeast,5,3,3,4,4,1,4,1,1,1,,1,,early_compliant_survivor
282,26,2020,4,diocesan,Northeast,4,4,3,4,5,1,4,1,1,1,,1,,early_compliant_survivor
283,29,2017,7,diocesan,Northeast,5,4,4,3,5,2,5,1,0,1,2,0,3,early_compliant_survivor
284,23,2023,1,diocesan,South,4,4,4,4,5,1,4,1,0,1,2,0,3,early_compliant_survivor
285,29,2017,7,diocesan,West,3,5,5,2,2,5,4,1,1,1,3,0,4,late_integrated_attriter
286,23,2023,1,diocesan,Northeast,4,3,3,3,5,1,4,1,1,1,,1,,early_compliant_survivor
287,23,2023,1,diocesan,South,5,4,4,3,4,2,5,1,0,1,2,0,2,early_compliant_survivor
288,36,2010,14,diocesan,South,3,5,4,2,2,3,4,1,1,1,6,0,3,late_integrated_attriter
289,26,2020,4,diocesan,South,5,4,3,4,5,1,4,1,1,1,,1,,early_compliant_survivor
290,24,2022,2,diocesan,West,4,4,3,3,5,1,4,1,1,1,,1,,early_compliant_survivor
291,39,2007,17,religious,Midwest,5,3,1,5,4,0,3,1,1,0,,1,,institutional_careerist
292,31,2015,9,diocesan,South,4,5,4,2,1,5,4,1,1,1,5,0,3,late_integrated_attriter
293,23,2023,1,diocesan,West,4,3,4,3,5,2,4,1,1,1,3,0,3,early_compliant_survivor
294,23,2023,1,diocesan,Midwest,4,3,4,4,5,1,4,1,0,1,2,0,3,early_compliant_survivor
295,23,2023,1,diocesan,Midwest,4,3,4,4,4,2,4,1,0,1,2,0,2,early_compliant_survivor
296,27,2019,5,diocesan,Northeast,4,4,3,4,4,0,4,1,1,1,,1,,early_compliant_survivor
297,35,2011,13,religious,West,4,3,1,5,4,1,3,1,1,0,,1,,institutional_careerist
298,26,2020,4,diocesan,West,3,1,3,3,2,1,3,0,0,0,1,0,5,early_exit_discerner
299,24,2022,2,diocesan,Midwest,5,4,4,3,4,1,5,1,1,1,3,0,3,early_compliant_survivor
300,25,2021,3,diocesan,Northeast,4,4,4,4,5,2,4,1,1,1,3,0,3,early_compliant_survivor
